Data,Consumo
2021-09-01,41950.8132
2021-10-01,42588.860165
2021-11-01,41900.855446999994
2021-12-01,42880.643003
2022-01-01,42555.478155
2022-02-01,41858.143937
2022-03-01,44575.278112
2022-04-01,43213.288967
2022-05-01,42010.354185
2022-06-01,40896.014694
2022-07-01,41218.922373
2022-08-01,42112.088874
2022-09-01,42294.563114
2022-10-01,42543.485831
2022-11-01,42702.056371
2022-12-01,43243.116615
2023-01-01,42841.382544
2023-02-01,43046.35027
2023-03-01,45815.936024
2023-04-01,44913.107639
2023-05-01,43179.577829
2023-06-01,42678.18001
2023-07-01,42032.284530000004
2023-08-01,43475.427961
2023-09-01,44509.831829
2023-10-01,46175.526257
2023-11-01,46795.099927
2023-12-01,47404.219106000004
2024-01-01,46996.513073999995
2024-02-01,46386.650601
2024-03-01,47942.383988
2024-04-01,47394.134113
2024-05-01,47142.78754
2024-06-01,45632.604297
2024-07-01,44931.476205
2024-08-01,46161.662832
2024-09-01,46469.910465
2024-10-01,48039.839696
2024-11-01,47410.762067
2024-12-01,47508.703465
2025-01-01,47597.236081999996
2025-02-01,48251.498301
2025-03-01,50066.21733
2025-04-01,47832.222956
2025-05-01,47014.890692
2025-06-01,45314.177410000004
2025-07-01,45184.501676
2025-08-01,45891.224651
2025-09-01,46326.902208
2025-10-01,47850.174008
2025-11-01,47729.912027
2025-12-01,48173.303890999996
2026-01-01,49156.745808
2026-02-01,47374.518302000004
2026-03-01,48937.203614
2026-04-01,49638.204860000005
